日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA20
2020-01-02,601998,4.21,4.22,4.28,4.2,349385,217666252.0,1.91,0.96,0.04,0.11,
2020-01-03,601998,4.23,4.21,4.24,4.19,187600,116328328.0,1.18,-0.24,-0.01,0.06,
2020-01-06,601998,4.19,4.14,4.23,4.11,327195,201885717.0,2.85,-1.66,-0.07,0.1,
2020-01-07,601998,4.16,4.19,4.2,4.15,184873,113995776.0,1.21,1.21,0.05,0.06,
2020-01-08,601998,4.16,4.11,4.17,4.09,171084,104583641.0,1.91,-1.91,-0.08,0.05,
2020-01-09,601998,4.12,4.1,4.14,4.05,376705,229021020.0,2.19,-0.24,-0.01,0.12,
2020-01-10,601998,4.1,4.09,4.11,4.05,172896,104767796.0,1.46,-0.24,-0.01,0.05,
2020-01-13,601998,4.1,4.1,4.11,4.05,198221,120185239.0,1.47,0.24,0.01,0.06,
2020-01-14,601998,4.11,4.09,4.14,4.07,188873,115205845.0,1.71,-0.24,-0.01,0.06,
2020-01-15,601998,4.09,4.04,4.09,4.02,177417,107088072.0,1.71,-1.22,-0.05,0.06,
2020-01-16,601998,4.04,4.0,4.05,4.0,140864,84613576.0,1.24,-0.99,-0.04,0.04,
2020-01-17,601998,4.01,3.99,4.04,3.98,148178,88767829.0,1.5,-0.25,-0.01,0.05,
2020-01-20,601998,3.99,4.02,4.02,3.98,139318,83525771.0,1.0,0.75,0.03,0.04,
2020-01-21,601998,4.01,3.92,4.01,3.91,238061,141117901.0,2.49,-2.49,-0.1,0.07,
2020-01-22,601998,3.89,3.93,3.93,3.85,216182,127079978.0,2.04,0.26,0.01,0.07,
2020-01-23,601998,3.88,3.83,3.9,3.79,232353,135287642.0,2.8,-2.54,-0.1,0.07,
2020-02-03,601998,3.34,3.41,3.5,3.29,412604,222923024.0,5.48,-10.97,-0.42,0.13,
2020-02-04,601998,3.42,3.52,3.54,3.42,283218,155445388.0,3.52,3.23,0.11,0.09,
2020-02-05,601998,3.53,3.52,3.57,3.47,191908,105935423.0,2.84,0.0,0.0,0.06,
2020-02-06,601998,3.57,3.59,3.61,3.52,140888,78153705.0,2.56,1.99,0.07,0.04,3.9509999999999996
2020-02-07,601998,3.55,3.59,3.6,3.51,203084,112274661.0,2.51,0.0,0.0,0.06,3.9195
2020-02-10,601998,3.55,3.55,3.56,3.51,219759,121427462.0,1.39,-1.11,-0.04,0.07,3.8865000000000003
2020-02-11,601998,3.56,3.59,3.6,3.53,223621,124428980.0,1.97,1.13,0.04,0.07,3.8590000000000004
2020-02-12,601998,3.58,3.59,3.59,3.54,144255,80196992.0,1.39,0.0,0.0,0.05,3.8289999999999997
2020-02-13,601998,3.57,3.54,3.59,3.54,150640,83532443.0,1.39,-1.39,-0.05,0.05,3.8004999999999995
2020-02-14,601998,3.54,3.57,3.57,3.51,155564,86064143.0,1.69,0.85,0.03,0.05,3.774
2020-02-17,601998,3.56,3.67,3.67,3.55,308464,172641091.0,3.36,2.8,0.1,0.1,3.753
2020-02-18,601998,3.65,3.63,3.67,3.61,177987,100119638.0,1.63,-1.09,-0.04,0.06,3.7295000000000003
2020-02-19,601998,3.62,3.62,3.67,3.61,185049,104110368.0,1.65,-0.28,-0.01,0.06,3.7060000000000004
2020-02-20,601998,3.63,3.72,3.72,3.6,245173,138515426.0,3.31,2.76,0.1,0.08,3.6900000000000004
2020-02-21,601998,3.72,3.7,3.74,3.67,249269,141832580.0,1.88,-0.54,-0.02,0.08,3.675
2020-02-24,601998,3.69,3.65,3.69,3.62,214258,120850875.0,1.89,-1.35,-0.05,0.07,3.658
2020-02-25,601998,3.58,3.56,3.6,3.53,222647,123566313.0,1.92,-2.47,-0.09,0.07,3.6350000000000002
2020-02-26,601998,3.51,3.57,3.64,3.5,266363,148174597.0,3.93,0.28,0.01,0.08,3.6174999999999997
2020-02-27,601998,3.58,3.57,3.62,3.54,212765,118367942.0,2.24,0.0,0.0,0.07,3.5995
2020-02-28,601998,3.53,3.44,3.55,3.44,292486,160140449.0,3.08,-3.64,-0.13,0.09,3.5799999999999996
2020-03-02,601998,3.47,3.54,3.55,3.45,269246,148272205.0,2.91,2.91,0.1,0.08,3.5865
2020-03-03,601998,3.57,3.56,3.59,3.54,210537,116818901.0,1.41,0.56,0.02,0.07,3.5885
2020-03-04,601998,3.54,3.56,3.56,3.52,168736,93254159.0,1.12,0.0,0.0,0.05,3.5905
2020-03-05,601998,3.58,3.67,3.69,3.56,456410,256844496.0,3.65,3.09,0.11,0.14,3.5945
2020-03-06,601998,3.63,3.57,3.64,3.57,251183,140299873.0,1.91,-2.72,-0.1,0.08,3.5935
2020-03-09,601998,3.51,3.48,3.53,3.46,282318,154674014.0,1.96,-2.52,-0.09,0.09,3.59
2020-03-10,601998,3.44,3.53,3.54,3.44,228730,125621164.0,2.87,1.44,0.05,0.07,3.5869999999999997
2020-03-11,601998,3.54,3.47,3.55,3.46,211046,115890994.0,2.55,-1.7,-0.06,0.07,3.5809999999999995
2020-03-12,601998,3.45,3.44,3.48,3.4,241378,130893867.0,2.31,-0.86,-0.03,0.08,3.5759999999999996
2020-03-13,601998,3.31,3.4,3.42,3.29,257290,137288906.0,3.78,-1.16,-0.04,0.08,3.5675
2020-03-16,601998,3.42,3.34,3.42,3.33,265808,142616962.0,2.65,-1.76,-0.06,0.08,3.5509999999999997
2020-03-17,601998,3.33,3.3,3.39,3.25,231458,122798820.0,4.19,-1.2,-0.04,0.07,3.5345
2020-03-18,601998,3.33,3.23,3.34,3.23,166387,87786046.0,3.33,-2.12,-0.07,0.05,3.5149999999999997
2020-03-19,601998,3.21,3.16,3.25,3.08,238136,122490158.0,5.26,-2.17,-0.07,0.07,3.4869999999999997
2020-03-20,601998,3.22,3.24,3.25,3.13,266276,137930890.0,3.8,2.53,0.08,0.08,3.464
2020-03-23,601998,3.14,3.16,3.19,3.11,207491,106665040.0,2.47,-2.47,-0.08,0.07,3.4395000000000002
2020-03-24,601998,3.21,3.23,3.25,3.19,124913,65072181.0,1.9,2.22,0.07,0.04,3.4229999999999996
