日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,涨跌幅%,振幅%,金额
2020-01-02,601998,4.21,4.22,4.28,4.2,349385,217666252.0,1.91,0.96,0.04,0.11,,1.9002375296912133,1474404.7
2020-01-03,601998,4.23,4.21,4.24,4.19,187600,116328328.0,1.18,-0.24,-0.01,0.06,-0.23696682464454666,1.1820330969267097,789796.0
2020-01-06,601998,4.19,4.14,4.23,4.11,327195,201885717.0,2.85,-1.66,-0.07,0.1,-1.6627078384798155,2.8639618138424843,1354587.2999999998
2020-01-07,601998,4.16,4.19,4.2,4.15,184873,113995776.0,1.21,1.21,0.05,0.06,1.2077294685990614,1.2019230769230727,774617.8700000001
2020-01-08,601998,4.16,4.11,4.17,4.09,171084,104583641.0,1.91,-1.91,-0.08,0.05,-1.9093078758949944,1.9230769230769247,703155.2400000001
2020-01-09,601998,4.12,4.1,4.14,4.05,376705,229021020.0,2.19,-0.24,-0.01,0.12,-0.24330900243311193,2.1844660194174725,1544490.4999999998
2020-01-10,601998,4.1,4.09,4.11,4.05,172896,104767796.0,1.46,-0.24,-0.01,0.05,-0.24390243902439046,1.4634146341463536,707144.64
2020-01-13,601998,4.1,4.1,4.11,4.05,198221,120185239.0,1.47,0.24,0.01,0.06,0.24449877750609694,1.4634146341463536,812706.1
2020-01-14,601998,4.11,4.09,4.14,4.07,188873,115205845.0,1.71,-0.24,-0.01,0.06,-0.24390243902439046,1.7031630170316152,772490.57
2020-01-15,601998,4.09,4.04,4.09,4.02,177417,107088072.0,1.71,-1.22,-0.05,0.06,-1.2224938875305624,1.711491442542794,716764.68
2020-01-16,601998,4.04,4.0,4.05,4.0,140864,84613576.0,1.24,-0.99,-0.04,0.04,-0.990099009900991,1.2376237623762332,563456.0
2020-01-17,601998,4.01,3.99,4.04,3.98,148178,88767829.0,1.5,-0.25,-0.01,0.05,-0.24999999999999467,1.496259351620949,591230.2200000001
2020-01-20,601998,3.99,4.02,4.02,3.98,139318,83525771.0,1.0,0.75,0.03,0.04,0.7518796992481036,1.0025062656641501,560058.36
2020-01-21,601998,4.01,3.92,4.01,3.91,238061,141117901.0,2.49,-2.49,-0.1,0.07,-2.487562189054715,2.493765586034904,933199.12
2020-01-22,601998,3.89,3.93,3.93,3.85,216182,127079978.0,2.04,0.26,0.01,0.07,0.25510204081633514,2.0565552699228813,849595.26
2020-01-23,601998,3.88,3.83,3.9,3.79,232353,135287642.0,2.8,-2.54,-0.1,0.07,-2.5445292620865145,2.8350515463917496,889911.99
2020-02-03,601998,3.34,3.41,3.5,3.29,412604,222923024.0,5.48,-10.97,-0.42,0.13,-10.966057441253263,6.287425149700598,1406979.6400000001
2020-02-04,601998,3.42,3.52,3.54,3.42,283218,155445388.0,3.52,3.23,0.11,0.09,3.2258064516129004,3.5087719298245648,996927.36
2020-02-05,601998,3.53,3.52,3.57,3.47,191908,105935423.0,2.84,0.0,0.0,0.06,0.0,2.8328611898016898,675516.16
2020-02-06,601998,3.57,3.59,3.61,3.52,140888,78153705.0,2.56,1.99,0.07,0.04,1.9886363636363535,2.521008403361341,505787.92
2020-02-07,601998,3.55,3.59,3.6,3.51,203084,112274661.0,2.51,0.0,0.0,0.06,0.0,2.5352112676056424,729071.5599999999
2020-02-10,601998,3.55,3.55,3.56,3.51,219759,121427462.0,1.39,-1.11,-0.04,0.07,-1.1142061281337101,1.4084507042253596,780144.45
2020-02-11,601998,3.56,3.59,3.6,3.53,223621,124428980.0,1.97,1.13,0.04,0.07,1.1267605633802802,1.9662921348314686,802799.39
2020-02-12,601998,3.58,3.59,3.59,3.54,144255,80196992.0,1.39,0.0,0.0,0.05,0.0,1.3966480446927325,517875.44999999995
2020-02-13,601998,3.57,3.54,3.59,3.54,150640,83532443.0,1.39,-1.39,-0.05,0.05,-1.392757660167121,1.4005602240896309,533265.6
2020-02-14,601998,3.54,3.57,3.57,3.51,155564,86064143.0,1.69,0.85,0.03,0.05,0.8474576271186418,1.6949152542372896,555363.48
2020-02-17,601998,3.56,3.67,3.67,3.55,308464,172641091.0,3.36,2.8,0.1,0.1,2.801120448179284,3.3707865168539355,1132062.88
2020-02-18,601998,3.65,3.63,3.67,3.61,177987,100119638.0,1.63,-1.09,-0.04,0.06,-1.0899182561307952,1.6438356164383578,646092.8099999999
2020-02-19,601998,3.62,3.62,3.67,3.61,185049,104110368.0,1.65,-0.28,-0.01,0.06,-0.2754820936639035,1.657458563535913,669877.38
2020-02-20,601998,3.63,3.72,3.72,3.6,245173,138515426.0,3.31,2.76,0.1,0.08,2.7624309392265234,3.305785123966945,912043.56
2020-02-21,601998,3.72,3.7,3.74,3.67,249269,141832580.0,1.88,-0.54,-0.02,0.08,-0.5376344086021501,1.8817204301075345,922295.3
2020-02-24,601998,3.69,3.65,3.69,3.62,214258,120850875.0,1.89,-1.35,-0.05,0.07,-1.3513513513513598,1.8970189701896976,782041.7
2020-02-25,601998,3.58,3.56,3.6,3.53,222647,123566313.0,1.92,-2.47,-0.09,0.07,-2.465753424657535,1.9553072625698404,792623.3200000001
2020-02-26,601998,3.51,3.57,3.64,3.5,266363,148174597.0,3.93,0.28,0.01,0.08,0.2808988764044784,3.988603988603993,950915.9099999999
2020-02-27,601998,3.58,3.57,3.62,3.54,212765,118367942.0,2.24,0.0,0.0,0.07,0.0,2.2346368715083815,759571.0499999999
2020-02-28,601998,3.53,3.44,3.55,3.44,292486,160140449.0,3.08,-3.64,-0.13,0.09,-3.6414565826330514,3.1161473087818665,1006151.84
2020-03-02,601998,3.47,3.54,3.55,3.45,269246,148272205.0,2.91,2.91,0.1,0.08,2.9069767441860517,2.8818443804034475,953130.84
2020-03-03,601998,3.57,3.56,3.59,3.54,210537,116818901.0,1.41,0.56,0.02,0.07,0.5649717514124353,1.4005602240896309,749511.72
2020-03-04,601998,3.54,3.56,3.56,3.52,168736,93254159.0,1.12,0.0,0.0,0.05,0.0,1.12994350282486,600700.16
2020-03-05,601998,3.58,3.67,3.69,3.56,456410,256844496.0,3.65,3.09,0.11,0.14,3.08988764044944,3.631284916201114,1675024.7
2020-03-06,601998,3.63,3.57,3.64,3.57,251183,140299873.0,1.91,-2.72,-0.1,0.08,-2.7247956403269824,1.9283746556473909,896723.3099999999
2020-03-09,601998,3.51,3.48,3.53,3.46,282318,154674014.0,1.96,-2.52,-0.09,0.09,-2.5210084033613356,1.9943019943019897,982466.64
2020-03-10,601998,3.44,3.53,3.54,3.44,228730,125621164.0,2.87,1.44,0.05,0.07,1.4367816091954033,2.9069767441860495,807416.8999999999
2020-03-11,601998,3.54,3.47,3.55,3.46,211046,115890994.0,2.55,-1.7,-0.06,0.07,-1.6997167138810054,2.542372881355928,732329.62
2020-03-12,601998,3.45,3.44,3.48,3.4,241378,130893867.0,2.31,-0.86,-0.03,0.08,-0.8645533141210415,2.3188405797101472,830340.32
2020-03-13,601998,3.31,3.4,3.42,3.29,257290,137288906.0,3.78,-1.16,-0.04,0.08,-1.1627906976744207,3.927492447129906,874786.0
2020-03-16,601998,3.42,3.34,3.42,3.33,265808,142616962.0,2.65,-1.76,-0.06,0.08,-1.764705882352946,2.6315789473684172,887798.72
